0,after Mapping
Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Human orthopneumovirus,Human orthopneumovirus
Zaire ebolavirus,Zaire ebolavirus
Dengue virus,Dengue virus
Rabies lyssavirus,Rabies lyssavirus
Lymphocytic choriomeningitis mammarenavirus,Lymphocytic choriomeningitis mammarenavirus
Human alphaherpesvirus 1,Human alphaherpesvirus 1
Influenza A virus,Influenza A virus
Hepacivirus C,Hepacivirus C
Zika virus,Zika virus
Human alphaherpesvirus 2,Human alphaherpesvirus 2
Human alphaherpesvirus 3,Human alphaherpesvirus 3
Alphapapillomavirus 10,Alphapapillomavirus
Human betaherpesvirus 5,Human betaherpesvirus 5
Human gammaherpesvirus 4,Human gammaherpesvirus 4
Human betaherpesvirus 6,Human betaherpesvirus
Human immunodeficiency virus 1,Human immunodeficiency virus 1
Hepatitis delta virus,Hepatitis delta virus
Kappapapillomavirus 2,Kappapapillomavirus 2
Hepatitis B virus,Hepatitis B virus
Cowpox virus,Cowpox virus
Vaccinia virus,Vaccinia virus
Human coronavirus 229E,Human coronavirus 229E
Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus
Foot-and-mouth disease virus,Foot-and-mouth disease virus
Hepatovirus A,Hepatovirus A
Hantaan orthohantavirus,Hantaan orthohantavirus
Argentinian mammarenavirus,Argentinian mammarenavirus
Lassa mammarenavirus,Lassa mammarenavirus
Mopeia mammarenavirus,Mopeia mammarenavirus
Cali mammarenavirus,Cali mammarenavirus
Indiana vesiculovirus,Indiana vesiculovirus
West Nile virus,West Nile virus
Chikungunya virus,Chikungunya virus
Enterovirus B,Enterovirus
Enterovirus C,Enterovirus C
Rhinovirus A,Rhinovirus A
Human gammaherpesvirus 8,Human gammaherpesvirus 8
Marburg marburgvirus,Marburg marburgvirus
Measles morbillivirus,Measles morbillivirus
Ross River virus,Ross River virus
Sindbis virus,Sindbis virus
Yellow fever virus,Yellow fever virus
Lujo mammarenavirus,Lujo mammarenavirus
Japanese encephalitis virus,Japanese encephalitis virus
African swine fever virus,African swine fever virus
Rubivirus rubellae,Rubivirus rubellae
Influenza B virus,Influenza B virus
Human polyomavirus 1,Human polyomavirus
Human polyomavirus 2,Human polyomavirus 2
Cardiovirus A,Cardiovirus A
Human respirovirus 3,Human respirovirus 3
Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Human mastadenovirus C,Human mastadenovirus
Human immunodeficiency virus 2,Human immunodeficiency virus 2
Human metapneumovirus,Human metapneumovirus
Rift Valley fever phlebovirus,Rift Valley fever phlebovirus
Human coronavirus NL63,Human coronavirus NL63
Usutu virus,Usutu virus
Langat virus,Langat virus
Wesselsbron virus,Wesselsbron virus
Enterovirus A,Enterovirus
Bunyamwera orthobunyavirus,Bunyamwera orthobunyavirus
La Crosse orthobunyavirus,La Crosse orthobunyavirus
Rabbit hemorrhagic disease virus    ,Rabbit hemorrhagic disease virus
Norwalk virus,Norwalk virus
Sapporo virus,Sapporo virus
Alphapapillomavirus 9,Alphapapillomavirus
Semliki Forest virus,Semliki Forest virus
Macaca mulatta polyomavirus 1,Macaca mulatta polyomavirus 1
Betacoronavirus 1,Betacoronavirus 1
Eastern equine encephalitis virus,Eastern equine encephalitis virus
Nipah henipavirus,Nipah henipavirus
Dabie bandavirus,Dabie bandavirus
Western equine encephalitis virus,Western equine encephalitis virus
Powassan virus,Powassan virus
Primate erythroparvovirus 1,Primate erythroparvovirus 1
Deltapapillomavirus 4,Deltapapillomavirus
Crimean-Congo hemorrhagic fever orthonairovirus,Crimean-Congo hemorrhagic fever orthonairovirus
Molluscum contagiosum virus,Molluscum contagiosum virus
Rhinovirus B,Rhinovirus B
Machupo mammarenavirus,Machupo mammarenavirus
Enterovirus D,Enterovirus D
Influenza C virus,Influenza C virus
Andes orthohantavirus,Andes orthohantavirus
Mamastrovirus 9,Mamastrovirus
Sin Nombre orthohantavirus,Sin Nombre orthohantavirus
Human mastadenovirus D,Human mastadenovirus
Rotavirus A,Rotavirus A
Tick-borne encephalitis virus,Tick-borne encephalitis virus
Human orthorubulavirus 2,Human orthorubulavirus
Hendra henipavirus,Hendra henipavirus
Mayaro virus,Mayaro virus
Alphapapillomavirus 7,Alphapapillomavirus
Orf virus,Orf virus
Human orthorubulavirus 4,Human orthorubulavirus
Orthohepevirus A,Orthohepevirus A
Punta Toro phlebovirus,Punta Toro phlebovirus
Primate T-lymphotropic virus 1,Primate T-lymphotropic virus
Cardiovirus D,Cardiovirus
Parechovirus A,Parechovirus
Human mastadenovirus B,Human mastadenovirus
Alphacoronavirus 1,Alphacoronavirus 1
Human respirovirus 1,Human respirovirus 1
Human betaherpesvirus 7,Human betaherpesvirus 7
Mamastrovirus 1,Mamastrovirus
Variola virus,Variola virus
Monkeypox,Monkeypox
